127.0.0.1, 2018-04-25 22:10:03, GET, /, HTTP/1.1, 303, 0.002979
127.0.0.1, 2018-04-25 22:10:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.204044
127.0.0.1, 2018-04-25 22:10:05, GET, /admin/default/index, HTTP/1.1, 200, 0.138682
127.0.0.1, 2018-04-25 22:10:05, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000722
127.0.0.1, 2018-04-25 22:10:05, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.001245
127.0.0.1, 2018-04-25 22:10:10, POST, /admin/default/index, HTTP/1.1, 303, 0.017449
127.0.0.1, 2018-04-25 22:10:10, GET, /admin/default/site, HTTP/1.1, 200, 0.037852
127.0.0.1, 2018-04-25 22:10:10, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.000885
127.0.0.1, 2018-04-25 22:10:10, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000701
127.0.0.1, 2018-04-25 22:10:10, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.001651
127.0.0.1, 2018-04-25 22:10:10, POST, /admin/default/check_version, HTTP/1.1, 200, 0.633157
127.0.0.1, 2018-04-25 22:11:34, GET, /admin/default/reload_routes, HTTP/1.1, 303, 0.033538
127.0.0.1, 2018-04-25 22:11:34, GET, /admin/default/site, HTTP/1.1, 200, 0.029643
127.0.0.1, 2018-04-25 22:11:36, POST, /admin/default/check_version, HTTP/1.1, 200, 0.180395
127.0.0.1, 2018-04-25 22:11:39, GET, /admin/default/index, HTTP/1.1, 303, 0.002645
127.0.0.1, 2018-04-25 22:11:39, GET, /admin/default/site, HTTP/1.1, 200, 0.021405
127.0.0.1, 2018-04-25 22:12:38, GET, /, HTTP/1.1, 303, 0.003389
127.0.0.1, 2018-04-25 22:12:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.196473
127.0.0.1, 2018-04-25 22:12:40, GET, /admin/default/index, HTTP/1.1, 303, 0.090446
127.0.0.1, 2018-04-25 22:12:40, GET, /admin/default/site, HTTP/1.1, 200, 0.032813
127.0.0.1, 2018-04-25 22:12:40, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.002142
127.0.0.1, 2018-04-25 22:12:40, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.004395
127.0.0.1, 2018-04-25 22:12:40, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003048
127.0.0.1, 2018-04-25 22:12:40, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004373
127.0.0.1, 2018-04-25 22:12:40, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.003450
127.0.0.1, 2018-04-25 22:12:40, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.000468
